Date,Time,Headline,Body Context
3/14/2025,10:37,Slot on Nunez's reaction to PSG penalty miss,"Liverpool boss Arne Slot on whether he has had to pick Darwin Nunez up after he missed his penalty in the defeat to PSG: ""I assume Curtis [Jones] felt the same. I think every player who takes a penalty and misses doesn't feel well, but it's not only the two that missed, it's all the others who didn't feel positive because we lost. ""They took the responsibility. You can miss a chance or a penalty but that is what happens if you take the responsibility of taking a penalty. ""We were closer to winning the game in the 90 minutes. In my opinion, you need a bit of luck on penalties. ""[Nunez] missed and that's not what you want but I don't want to make anything more of it than just missing a penalty."""
3/14/2025,10:34,Slot: Ipswich withdrawal key moment for Quansah,"Liverpool boss Arne Slot on the significance of Jarell Quansah's half-time withdrawal against Ipswich on the opening day of the seaons: ""It's so good to see that he managed his way back. He had good moments before the winter break as well. ""Every time we need him he does really well. ""Mentality-wise, that Ipswich game was a good moment for him., because he now experiences that people are not only positive about him, like last season. ""He now knows he can fight his way back when people are not so positive and that is something every player should experience at the start of his football career."""
3/14/2025,10:31,Slot salutes Quansah mentality after England call-up,"Liverpool boss Arne Slot on Jarell Quansah's England call-up: ""It says a lot about his mentality. Last season everyone saw what a talent he is. Then, this season started with him starting, but I changed him against Ipswich and Ibou and Virgil were - and are - such a strong combination that he didn't play a lot. ""Afterwards, every time he played, everyone could see that he is no longer just a [young] talent because as a [young] talent you don't have any setbacks. ""The moment you get setbacks, it's about how you react and I think he showed in his recent performances that he outgrew being called a [young] talent and that is probably what Thomas Tuchel saw and sees by calling him up. ""He did really well the last few times he had to play for us, even in a position he is not used to, as a right-back, but he has the qualities to play there. He's strong, he's fast, he's very comfortable on the ball, and it gives us an extra quality in terms of set-pieces. ""He showed mentality, and that he had quality, which we knew when we saw him playing last season."""
3/14/2025,10:24,Slot: Tiredness not an issue for Newcastle showdown,"Liverpool boss Arne Slot: ""I think it's quite normal that players are tired in extra time, especially if the 90 minutes were so intense and you don't get a reward for that. ""I made five changes, so five out of the 10 [outfield] players on the pitch could never be tired. So I don't think that was the reason why Paris Saint-Germain were better in the last half an hour. In my opinion, that had nothing to do with us being tired. ""There are four days in between. The players are able to play on Sunday again, definitely."""
3/14/2025,10:22,Slot on PSG loss: 'I couldn't have asked for more... it was pure football',"Liverpool boss Arne Slot on bouncing back from PSG loss: ""That is the good thing about where we are in the league and the league cup. Everybody likes and wants to play a cup final. That's one of the reasons we get out of bed in the morning and come to train, to win trophies, and this is a chance. ""Our league position is another reason to keep on going. If you have to exit a tournament, I prefer to go out in the manner we did against Paris Saint-Germain and against Plymouth. ""I couldn't have asked for more from the players. We started the game and forced them into so many mistakes and created chances we normally score. ""I also liked the game because it was pure football. I have seen so may games recently and in my life where it's all about time-delaying and dives and pretending to be injured. ""This was two teams wanting to go all in without anything to add - just pure football. Big compliment to Paris Saint-Germain that they were able to beat such a strong LIverpool team."""
3/14/2025,10:13,Slot relishing cup final showdown,"Liverpool boss Arne Slot: ""You play games like this, against Paris Saint-Germain and against Newcastle now, to win it. That is what we are trying to do. ""We are really looking forward to playing a final again because you cannot take a final for granted, especially in this country with so many good teams involved in every cup competition. ""We are looking forward to being a part of it and if you are a part of it, you want and try to win it, but that's probably what Newcastle want as well."""
3/14/2025,10:10,Trent to miss Carabao Cup final but Slot hopeful on Konate,"LiverpoolbossArne Slothas confirmedTrent Alexander-Arnoldwill miss Sunday's Carabao Cup final against Newcastle with his ankle injury but hopes to haveIbrahima Konateavailable. Alexander-Arnold suffered his injury in the second half of the Champions League penalty shootout loss to Paris-Saint Germain, while Konate also had to be substituted in extra time. Right-back Alexander-Arnold is still being assessed, according to Slot, but Liverpool hope to have him back before the end of the campaign. ""Trent is not available,"" said Slot. ""He will not be there at the final. He is still to be assessed for how long it is going to take but we do expect him back in the end of the season."" His absence leaves Liverpool without a natural right-back, withConor Bradleyinjured andJoe Gomezalso unavailable, but Slot offered a more optimistic update on Konate. ""On Ibou Konate, we didn't train yesterday, we had a day off, and the day before was recovery. I expect him to train with us today but let's see how he is."""
3/14/2025,10:06,Slot on Van Dijk's comments on future: 'I want Virgil to be here next season',"Liverpool boss Arne Slot on Virgil van Dijk's future: ""I don't know what is happening next season either, in terms of results. But I know that's not what you mean. ""The only thing I know is that I want Virgil to be here next season. All the rest is talks about contracts and that's not what I do. ""No it doesn't [impact planning], not for me."" Sky Sports"
3/14/2025,09:56,How to watch Liverpool vs Newcastle in Carabao Cup final,Got Sky? TV:Sky Customers can watch on Sky Sports Main Event and Sky Sports Football from 3.30pm App:Sky Customers can also watch on theSky Sports app Not got Sky? Stream:Non Sky Customers canstream the game with a NOW Day or a cancel-anytime Month pass Online:Anyone on the move can follow live coverage of the game through ourdedicated match blog!
3/14/2025,09:50,Slot set to speak to the media,Good morning! LiverpoolbossArne Slotis due to begin his press conference at 10am ahead of Sunday's Carabao Cup final againstNewcastle. Stay right here for team news updates and much more as the Reds aim for their first piece of silverware under the Dutchman.
3/13/2025,08:07,"Alexander-Arnold set to miss final, but Kelleher likely to start","The Daily MirrorreportsTrent Alexander-Arnoldwill miss the Carabao Cup final for the second successive season after his injury against PSG on Tuesday. However, the newspaper adds that the Liverpool right-back appears to have avoided a serious injury. The Daily Mailalso says thatCaoimhin Kelleheris likely to start the game against Newcastle at Wembley ahead of No1 goalkeeper Alisson. Kelleher often starts in the Reds' domestic cup ties, including three in the Carabao Cup this year. He started in the 2024 final when Liverpool beat Chelsea 1-0 in extra-time."
3/12/2025,14:59,'Talks not on hold' - Van Dijk has 'no idea' if he will extend Liverpool stay,"Virgil van Dijksays talks withLiverpoolover a new deal are ""not on hold"" but he still has ""no idea"" what will happen in the summer, when his contract is set to expire. ""I have no idea. I still have no idea at the moment,"" Van Dijk said when asked whether he would be playing for Liverpool at the start of next season. ""Genuinely. I have no idea at the moment. It is not on hold. Nothing is on hold. There's just… I keep saying the same thing. Listen, there are 10 games to go (this season) and that is my full focus. ""If there is news, you guys will know it. But I don't even know myself. Everyone knows there are some conversations behind the scenes but that is about it. At the moment I don't even know what will happen next year. If anyone says they do know, they are lying to your face."" As well as Van Dijk, star forwardMohamed Salahand right-backTrent Alexander-Arnoldare also out of contract at the end of the campaign. Sky Sports"
3/12/2025,14:39,How Salah and Dembele's performances decided PSG vs Liverpool,Sky Sports'Peter SmithandDougie Critchleyanalyse howMohamed SalahandOusmane Dembele'sperformances decidedPSG'sclash withLiverpoolin the Champions League.
3/12/2025,08:16,Gyokeres interested in three PL clubs this summer,"Sporting LisbonstrikerViktor Gyokeresis reportedly interested in joining three Premier League clubs this summer, says Portuguese outletA Bola. He would favour a move toLiverpool, Arsenal or Manchester City,with the report adding it is 'inevitable' that Gyokeres will leave the club in the summer. The forward has previously played for Brighton, Swansea and Coventry in England."
3/12/2025,08:09,Schlotterbeck on Liverpool's radar as Van Dijk chats to PSG chiefs,"Liverpoolare reportedly 'very interested' in signingBorussia Dortmundcentre-backNico Schlotterbeckas a potential successor toVirgil van Dijk, according to theDaily Mail. It adds that the Reds are willing to pay £42m for the defender, whose contract expires in 2027. Meanwhile, the newspaper also reported that Van Dijk was spotted deep in conversation with PSG presidentNasser Al-Khelaifiand sporting directorLuis Camposafter Liverpool's Champions League exit to the French side. His Reds contract expires at the end of the season and he is yet to sign an extension. Sky Sports"
3/12/2025,00:50,Slot: Liverpool-PSG 'best game of football I've been involved in',"Liverpool boss Arne Slot described his side's Champions League exit at the hands of Paris Saint-Germain as ""the best game of football"" he's ever been involved in. Sky Sports"
3/12/2025,00:48,The Verdict: Missed opportunity for Liverpool after PSG defeat,No Content
3/12/2025,00:21,Carra: The best team won,"Former Liverpool defender Jamie Carragher was full of praise for PSG after their victory at Anfield and he thinks the best team won the tie, in the end. ""The best team won,"" the Sky Sports pundit told CBS. ""We saw how PSG performed in the first leg - I called it a robbery. ""In the first 20 minutes, half-an-hour, I thought Liverpool were going on to win this game comfortably but they just couldn't get that goal early on, and then PSG get it. ""For the rest of the game it felt like nip and tuck but in extra-time, PSG took over and we (Liverpool) were hanging on for penalties. ""Then, it's a lottery but PSG deserved to go through. Liverpool ran out of steam. It was a top-level game and you have to admire the brilliance of the opposition."""
3/12/2025,00:21,Slot: PSG tie the best game of football I have been involved in | 'We deserved to win the match',No Content
3/12/2025,00:20,Liverpool's European dream over,"Sky Sports' Adam Bate at Anfield: ""There was applause from the Liverpool supporters at the end, they were eager to stand by their team after their heroics this season, but PSG deserved that over the two legs. ""Arne Slot's side could count themselves unfortunate in the sense that Mohamed Salah missed two presentable opportunities before Ousmane Dembele's goal and Dominik Szoboszlai had a goal disallowed for offside. ""But while Liverpool were much more impressive in this game than a week ago, it was not enough. ""Salah was below par and for once Slot's substitutions did not pay off."" ""His job is to pick up these players for the Carabao Cup final on Sunday, Darwin Nunez and Curtis Jones included, while Trent Alexander-Arnold and Ibrahima Konate went off injured. ""The Premier League title awaits but Liverpool's European dream is over for this season."""
3/12/2025,00:19,Merson: The biggest winners tonight are Newcastle | 'Slot will have to pick his players up',No Content
3/11/2025,23:28,REPORT: Liverpool out of Europe after shoot-out defeat to PSG,Liverpool are out of the Champions League after Paris Saint-Germain made history to knock them out on penalties at Anfield. Sky Sports
3/11/2025,23:23,Slot: Maybe we ran out of luck,"Liverpoolwere comprehensively outplayed in the first leg in Paris but escaped with a 1-0 victory courtesy of a late Harvey Elliott goal. PSG turned the tables at Anfield after scoring early through Ousmane Dembele and Reds managerArne Slotconceded his side may have used up their luck. Slot said on Amazon Prime: “It was the best game of football I was ever involved in. “It was an incredible performance, especially if you compare it with last week. For the first 20, 25 minutes we just were all over them, we created chance after chance. “All of a sudden we were 1-0 down. It was probably almost the opposite of the luck we had last week. Maybe we ran out of luck after last week because the margins were so small.”"
3/11/2025,23:22,Merse's verdict: Slot must pick players up for cup final,"Paul Merson on Soccer Special reacting to Liverpool's exit from the Champions League in a tie which featured injuries to Alexander-Arnold and Konate: ""Arne Slot will have to pick these players up for the Carabao Cup final. ""It's a nice game to have to be picked up for but the players will be disappointed. Playing at Anfield and going out will be not be a nice feeling. ""Having played extra time and then losing, it's a big blow. Had they have won they would have got plenty of energy, but now they will be distraught at having gone out of the Champions League. ""They now have the challenge of playing  a team at Wembley who haven't won a trophy for an age. It's definitely an advantage for Newcastle that this tie has gone the distance."""
3/11/2025,23:10,'What an UNBELIEVABLE game!' | Best of Merse from Liverpool vs PSG,No Content
3/11/2025,23:09,'We need to be ready for next challenge',"LiverpoolcaptainVirgil van Dijklooked forward to the Carabao Cup final after exiting the Champions League at the hands of Paris St Germain. The Premier League leaders were beaten 4-1 on penalties after their last-16 tie ended 1-1 on aggregate following a 1-0 loss in the second leg at Anfield on Tuesday. Liverpool will now hope to bounce back as they take on Newcastle at Wembley on Sunday. Van Dijk said on Prime Video: “It was very intense, a great game of football to be part of. “Obviously it was a totally different Liverpool from what we showed in Paris but, unfortunately, went out on penalties and that’s the reality. “I said to the guys you can be disappointed because we are out of the competition, chin up and get ready for the next challenge. It’s a beautiful one on the weekend, so we go again.”"
3/11/2025,21:50,Alexander-Arnold and Konate doubts for Carabao Cup final,"DefendersTrent Alexander-ArnoldandIbrahima Konateare potential doubts for the Carabao Cup final against Newcastle on Sunday after coming off with injuries duringLiverpool's Champions League clash with PSG. England international Alexander-Arnold was substituted in the 73rd minute at Anfield after landing awkwardly on his right ankle. It looked bad as Alexander-Arnold was clearly in pain After the game, Liverpool boss Arne Slot admitted Alexander-Arnold is a doubt for Sunday's final. ""I wouldn't be surprised if he isn't available on Sunday,"" Slot said at full-time. Sky Sports Newsreporter Vinny O'Connor was at Anfield and here is how he described Alexander-Arnold's injury in our match blog. ""Alexander-Arnold's studs seemed to get caught in the turf as he went in for the tackle,"" he said. ""He's  getting a standing ovation from the main stand as he limps straight to the tunnel. ""Looking at him you have to say he's a doubt for the League Cup final....I really hope lightning hasn't struck twice after he missed last season's victory at Wembley over Chelsea."" The injury means Alexander-Arnold could also be a doubt for Thomas Tuchel’s first England squad, due to be announced later this week. Meanwhile, Konate was forced from the field in extra-time, limping off to be replaced by Wataru Endo. O'Connor added: ""Another injury concern for Liverpool as Konate limps off with Endo replacing him. ""It again shows how difficult it is to win multiple trophies. On such a big night in a massive Champions League last-16 tie, Liverpool have now lost two players through injury and what remains to be seen is the implication that has for the League Cup final at the weekend."" Liverpool take on Newcastle at Wembley on Sunday, live onSky Sports; kick-off 4.30pm."
3/11/2025,14:08,"Merson: PSG game is so hard to call, it could go all the way","Sky Sports' Paul Merson: ""I don't think I've looked forward to a game so much for a while. I don't support either team, but the excitement. From the first leg, I haven't seen any team do that to Liverpool - they destroyed them. ""PSG will be thinking 'we couldn't have played any better and we've lost 1-0' - that's soul destroying. When we talk about atmospheres, we're talking about Celtic Park and Anfield for big European nights, the fans are going to be up for this. ""It's hard to call. Liverpool were atrocious first half against Southampton last weekend and they cannot afford to play like that for 45 minutes against PSG. I would have to go for Liverpool because of home advantage, but I still think there's goals in it for PSG. This could go all the way this game. ""Liverpool going to Villa in the next round is a hard draw. It's a difficult game, it's not the kindest of draws. This is the harder half of the draw - whoever gets through it deserves to win the competition. ""Liverpool have to go full pelt week in, week out. You can't turn it on and off like a tap. That might be their problem, but they can wrap this Premier League up quickly. The league is won."""
3/10/2025,20:10,Slot: We'll need best performance of season to knock out 'complete' PSG,Liverpoolhead coachArne Slotadmits they will have to produce their best performance of the season to ensure Champions League progress against “the most complete team we have faced”. Sky Sports
3/10/2025,20:09,PSG boss Enrique says winner of Liverpool tie will reach final,"Paris Saint-Germainhead coachLuis Enriquebelieves the team which prevails in their last-16 tie againstLiverpoolat Anfield will be Champions League finalists. PSG trail 1-0 from their first leg despite a dominant display at the Parc des Princes but the former Barcelona boss is confident they can turn things around on Tuesday. “The most important game is the one which comes next and I hope it (the most important game) will be the last one of the season,” he said. “Even though we’re trailing from the first leg we will be playing our own game from the outset. Regardless of the result (in Paris) we wouldn’t do anything different. “At the moment we are out so our only option is to go out and win and that is what is driving us. “I don’t think Arne Slot has much doubts about our starting XI, I’ve got my ideas about his starting XI as well. “I’m not going to give away who we are going to play or how we are going to play but over the course of two games we will see two of the best teams in Europe, two contenders for the final and whoever goes through will go through to the final.”"
3/10/2025,19:52,Jota not judging his contribution on goals alone,"LiverpoolforwardDiogo Jotahas not scored a Champions League goal for more than three years and while he is keen to end that drought he insists he does not necessarily judge his contribution on goals alone. The Portuguese's five career goals in the Champions League include a 2020 hat-trick against Atalanta so he has some improvement to do on that front. Jota, who has been plagued by injuries over the last few seasons, has only scored eight goals this season, with the last coming two months ago at Nottingham Forest. “It’s been a difficult season for me personally, I had a few complications throughout the season,” he said ahead of the Champions League last 16 second-leg tie at home to Paris Saint-Germain. “These last couple of months matter the most when they decide things and I don’t feel I am at my best form at the moment but certainly by playing I will get there. “Stats are a part of today’s game but they don’t say everything. I want to score, obviously, but that is not a factor which will impact my game tomorrow. “If I don’t score but we go through I don’t mind a few more days into it (his Champions League drought). “As long as you keep being useful to the team that is the most important. Sometimes it is not only the stats but the way you can connect with your team-mates and help defensively and in the end help the team get the win. “That’s what I try to do every time I’m on the pitch.”"
3/10/2025,18:35,Slot confirms Gakpo fit to face PSG,"LiverpoolbossArne SlotconfirmedCody Gakpowill be in the squad to faceParis Saint-Germainfor Tuesday's crunchChampions Leaguelast-16 second leg at Anfield. Gakpo has missed the Reds' last two games with an ankle problem but will return for the home game against PSG. Slot said: ""He will be in the squad. He trained today for the first time.” Liverpool hold a one-goal lead from the first leg in Paris, which Gakpo missed, as Slot's side grabbed a fortunate 1-0 win despite a PSG onslaught."
