date,time,headline,news_text,reporter,news,clean_news,lda_no,lda_topic,month,Sentiment_M
1/21/2025,,"Arne Slot reveals Diogo Jota injury issue - will be out for ""weeks not months""","It is not great news on the return of Diogo Jota, with the forward not expected back for a few weeks after his latest injury issue ?€? which Arne Slot has now explained.
Jota missed the dramatic win at Brentford due to his latest fitness complaint suffered after his goal at Nottingham Forest, with Slot calling it a ?€?little niggle.?€?
Prior to the weekend?€?s game, the Dutchman said ?€?we?€?re hoping to see him on the pitch in the near future again,?€? which did not instil a lot of confidence in a swift reco",ThisIsAnfield,"Arne Slot reveals Diogo Jota injury issue - will be out for ""weeks not months"" It is not great news on the return of Diogo Jota, with the forward not expected back for a few weeks after his latest injury issue ?€? which Arne Slot has now explained.
Jota missed the dramatic win at Brentford due to his latest fitness complaint suffered after his goal at Nottingham Forest, with Slot calling it a ?€?little niggle.?€?
Prior to the weekend?€?s game, the Dutchman said ?€?we?€?re hoping to see him on the pitch in the near future again,?€? which did not instil a lot of confidence in a swift reco",arne slot reveals diogo jota injury issue weeks months great news return diogo jota forward expected back weeks latest injury issue arne slot explained jota missed dramatic win brentford due latest fitness complaint suffered goal nottingham forest slot calling little niggle prior weekends game dutchman said hoping see pitch near future instil lot confidence swift reco,20,Diago Jota,2025-01,n
3/17/2025,14:11:00,'It's about people coming together to help those most in need',"While Saturday's Merseyside derby throws up the usual conflicts between Everton and Liverpool supporters, this weekend's edition holds further significance as fans look to come together to combat food poverty in the city. Saturday's match will be the last Premier League derby at Goodison Park, as Everton's new stadium nears completion, and Katie Carter from fans' group The 1878s spoke to BBC Radio Merseyside on Thursday about how they want to mark the fixture. ""We do the flags at Goodison and we kindly have fans who sponsor our displays,"" she said. ""We decided we always ask people to donate to us to be able to make the flags happen. We decided, why not give something back? How about we try our utmost to make this the biggest collection that the foodbanks have ever had at a football game? ""It's not about Everton or Liverpool, it's about people in the city coming together as we always do to help those most in need. If every single fan that went to the game, if possible, could bring one tin of food or toiletries, there wouldn't be one hungry kid in this city on Saturday night. ""How good would that make you feel, knowing you have been a part of that and helped the people who most need it?"" When people see foodbank donations, the assumption is that food is the only thing those in poverty need. As Katie explains, the problems are rooted deeper than that. ""Things have cropped up this week that we didn't know about,"" she added. ""There are thousands of children on Merseyside who go to school with no deodorant on and haven't been washed. They don't have the products to do that. ""There is so much more than just providing food to people. Let's help these children have better hygiene and stuff like that when they are going to school.""",BBC,"'It's about people coming together to help those most in need' While Saturday's Merseyside derby throws up the usual conflicts between Everton and Liverpool supporters, this weekend's edition holds further significance as fans look to come together to combat food poverty in the city. Saturday's match will be the last Premier League derby at Goodison Park, as Everton's new stadium nears completion, and Katie Carter from fans' group The 1878s spoke to BBC Radio Merseyside on Thursday about how they want to mark the fixture. ""We do the flags at Goodison and we kindly have fans who sponsor our displays,"" she said. ""We decided we always ask people to donate to us to be able to make the flags happen. We decided, why not give something back? How about we try our utmost to make this the biggest collection that the foodbanks have ever had at a football game? ""It's not about Everton or Liverpool, it's about people in the city coming together as we always do to help those most in need. If every single fan that went to the game, if possible, could bring one tin of food or toiletries, there wouldn't be one hungry kid in this city on Saturday night. ""How good would that make you feel, knowing you have been a part of that and helped the people who most need it?"" When people see foodbank donations, the assumption is that food is the only thing those in poverty need. As Katie explains, the problems are rooted deeper than that. ""Things have cropped up this week that we didn't know about,"" she added. ""There are thousands of children on Merseyside who go to school with no deodorant on and haven't been washed. They don't have the products to do that. ""There is so much more than just providing food to people. Let's help these children have better hygiene and stuff like that when they are going to school.""",people coming together help need saturdays merseyside derby throws usual conflicts everton supporters weekends edition holds significance fans look come together combat food poverty city saturdays match last premier league derby goodison park evertons new stadium nears completion katie carter fans group spoke bbc radio merseyside thursday want mark fixture flags goodison kindly fans sponsor displays said decided always ask people donate us able make flags happen decided give something back try utmost make biggest collection foodbanks ever football game everton people city coming together always help need every single fan went game possible could bring one tin food toiletries wouldnt one hungry kid city saturday night good would make feel knowing part helped people need people see foodbank donations assumption food thing poverty need katie explains problems rooted deeper things cropped week didnt know added thousands children merseyside go school deodorant havent washed dont products much providing food people lets help children better hygiene stuff like going school,0,LFC Derby,2025-03,s
10/31/2024,,"5 matches, Real Madrid at Anfield & MORE internationals - Liverpool FC in November","Liverpool head into November in good form but with a busy month ahead that includes two tough Champions League games and another international break.
The Reds enjoyed a successful October overall, finishing the month second in the Premier League one point adrift of Man City, as well as winning twice in the Champions League.
In the Carabao Cup, Arne Slot?€?s side won 3-2 at Brighton on Wednesday evening, making it into the quarter-finals where they will face Southampton at St Mary?€?s Stadium.
It?€?s n",ThisIsAnfield,"5 matches, Real Madrid at Anfield & MORE internationals - Liverpool FC in November Liverpool head into November in good form but with a busy month ahead that includes two tough Champions League games and another international break.
The Reds enjoyed a successful October overall, finishing the month second in the Premier League one point adrift of Man City, as well as winning twice in the Champions League.
In the Carabao Cup, Arne Slot?€?s side won 3-2 at Brighton on Wednesday evening, making it into the quarter-finals where they will face Southampton at St Mary?€?s Stadium.
It?€?s n",matches real madrid anfield internationals fc november head november good form busy month ahead includes two tough champions league games another international break reds enjoyed successful october overall finishing month second premier league one point adrift man city well winning twice champions league carabao cup arne slots side brighton wednesday evening making quarterfinals face southampton st marys stadium n,-1,,2024-10,s
11/1/2024,,Expected Liverpool lineup vs. Brighton as 9 return and left-back decision made,"It is one down and one to go in the 65-hour battle against Brighton, and Arne Slot?€?s selection choices in the League Cup clash gave us a strong indication of what we will see at Anfield.
The Reds progressed in the League Cup at the expense of Brighton on Wednesday evening, and merely 65 hours after the final whistle the first one will blow at Anfield in the league clash.
Slot made eight changes for the cup tie and it offered us, and no doubt the Seagulls, a good idea of how he will set up his te",ThisIsAnfield,"Expected Liverpool lineup vs. Brighton as 9 return and left-back decision made It is one down and one to go in the 65-hour battle against Brighton, and Arne Slot?€?s selection choices in the League Cup clash gave us a strong indication of what we will see at Anfield.
The Reds progressed in the League Cup at the expense of Brighton on Wednesday evening, and merely 65 hours after the final whistle the first one will blow at Anfield in the league clash.
Slot made eight changes for the cup tie and it offered us, and no doubt the Seagulls, a good idea of how he will set up his te",expected lineup vs brighton return leftback decision made one one go hour battle brighton arne slots selection choices league cup clash gave us strong indication see anfield reds progressed league cup expense brighton wednesday evening merely hours final whistle first one blow anfield league clash slot made eight changes cup tie offered us doubt seagulls good idea set te,1,Pre-Match Review,2024-11,s
2/12/2025,,Liverpool will play just ONE Premier League fixture in 5-week period,"After a hectic run of five Premier League games in 15 days, Liverpool?€?s fixture list will then have only one league match in the following five-week period.
Arne Slot?€?s side have a strange schedule ahead of them but one that will tell us plenty about their title hopes come the end of the season.
The rescheduled Merseyside derby is the first of five league matches in only 15 days, with meetings against Wolves (H), Aston Villa (A), Man City (A) and Newcastle (H) to quickly follow.
By the end of th",ThisIsAnfield,"Liverpool will play just ONE Premier League fixture in 5-week period After a hectic run of five Premier League games in 15 days, Liverpool?€?s fixture list will then have only one league match in the following five-week period.
Arne Slot?€?s side have a strange schedule ahead of them but one that will tell us plenty about their title hopes come the end of the season.
The rescheduled Merseyside derby is the first of five league matches in only 15 days, with meetings against Wolves (H), Aston Villa (A), Man City (A) and Newcastle (H) to quickly follow.
By the end of th",play one premier league fixture week period hectic run five premier league games days fixture list one league match following fiveweek period arne slots side strange schedule ahead one tell us plenty title hopes come end season rescheduled merseyside derby first five league matches days meetings wolves h aston villa man city newcastle h quickly follow end th,5,Matchday Promote,2025-02,n
1/21/2025,,Confirmed Liverpool lineup vs. Lille as Conor Bradley starts in rotated XI,"Arne Slot has made four changes as Liverpool host Lille in their latest Champions League league phase clash, with a point enough to qualify for the last 16.
The Reds are in a luxury position heading into their penultimate game of the new league phase of the Champions League, knowing they will bypass the playoffs if they avoid defeat.
It may not be a straightforward night, of course, with visitors Lille unbeaten in their last 21 games, but Slot?€?s side should be strong enough to get the job done.
",ThisIsAnfield,"Confirmed Liverpool lineup vs. Lille as Conor Bradley starts in rotated XI Arne Slot has made four changes as Liverpool host Lille in their latest Champions League league phase clash, with a point enough to qualify for the last 16.
The Reds are in a luxury position heading into their penultimate game of the new league phase of the Champions League, knowing they will bypass the playoffs if they avoid defeat.
It may not be a straightforward night, of course, with visitors Lille unbeaten in their last 21 games, but Slot?€?s side should be strong enough to get the job done.
",confirmed lineup vs lille conor bradley starts rotated xi arne slot made four changes host lille latest champions league league phase clash point enough qualify last reds luxury position heading penultimate game new league phase champions league knowing bypass playoffs avoid defeat may straightforward night course visitors lille unbeaten last games slots side strong enough get job done,64,UCL League Phase,2025-01,s
1/28/2024,,Liverpool have quietly recalled another loanee as defender joins new club,"Liverpool have recalled their seventh loan player of the January transfer window, though defender Anderson Arroyo has immediately joined another club.
When Jurgen Klopp departs Anfield at the end of the season, Arroyo can be considered one of the strangest signings of his reign.
In fact, during a press conference This Is Anfield attended during the pre-season tour of the US in 2019, his response to a question on the Colombian defender suggested the manager was unsure who he was.
Similar to Taiwo",ThisIsAnfield,"Liverpool have quietly recalled another loanee as defender joins new club Liverpool have recalled their seventh loan player of the January transfer window, though defender Anderson Arroyo has immediately joined another club.
When Jurgen Klopp departs Anfield at the end of the season, Arroyo can be considered one of the strangest signings of his reign.
In fact, during a press conference This Is Anfield attended during the pre-season tour of the US in 2019, his response to a question on the Colombian defender suggested the manager was unsure who he was.
Similar to Taiwo",quietly recalled another loanee defender joins new club recalled seventh loan player january transfer window though defender anderson arroyo immediately joined another club jurgen klopp departs anfield end season arroyo considered one strangest signings reign fact press conference anfield attended preseason tour us response question colombian defender suggested manager unsure similar taiwo,13,Player Loan,2024-01,s
1/15/2025,,"Diogo Jota ""has to start more often"" as 2 Liverpool forwards score below 5/10","Diogo Jota was Liverpool?€?s standout player at Nottingham Forest, despite only playing a quarter of the game, but Luis Diaz endured a disappointing night as the No. 9.
The Reds dropped more points in the Premier League title race on Tuesday, although the draw may not look terrible come May.
Jota cancelled out Chris Wood?€?s early opener with his first touch and, while Arne Slot?€?s side pressed hard for a winner, they couldn?€?t get past a stubborn rearguard.
Here we compare our player ratings with tho",ThisIsAnfield,"Diogo Jota ""has to start more often"" as 2 Liverpool forwards score below 5/10 Diogo Jota was Liverpool?€?s standout player at Nottingham Forest, despite only playing a quarter of the game, but Luis Diaz endured a disappointing night as the No. 9.
The Reds dropped more points in the Premier League title race on Tuesday, although the draw may not look terrible come May.
Jota cancelled out Chris Wood?€?s early opener with his first touch and, while Arne Slot?€?s side pressed hard for a winner, they couldn?€?t get past a stubborn rearguard.
Here we compare our player ratings with tho",diogo jota start often forwards score diogo jota standout player nottingham forest despite playing quarter game luis diaz endured disappointing night reds dropped points premier league title race tuesday although draw may look terrible come may jota cancelled chris woods early opener first touch arne slots side pressed hard winner couldnt get past stubborn rearguard compare player ratings tho,20,Diago Jota,2025-01,n
7/11/2024,,Darwin Nunez FIGHTS Colombia fans after Uruguay families 'attacked',"A brawl broke out between Colombian and Uruguay supporters after their Copa America semi-final, with Darwin Nunez jumping into the crowd alongside other players in an attempt to protect their families.
The two teams met for a place in the final in North Carolina in the early hours of Thursday morning for those of us in the UK, with Luis Diaz?€?s side emerging as the victors.
But the ugly scenes that transpired off the pitch is what dominates the headlines, with a brawl breaking out in the stands a",ThisIsAnfield,"Darwin Nunez FIGHTS Colombia fans after Uruguay families 'attacked' A brawl broke out between Colombian and Uruguay supporters after their Copa America semi-final, with Darwin Nunez jumping into the crowd alongside other players in an attempt to protect their families.
The two teams met for a place in the final in North Carolina in the early hours of Thursday morning for those of us in the UK, with Luis Diaz?€?s side emerging as the victors.
But the ugly scenes that transpired off the pitch is what dominates the headlines, with a brawl breaking out in the stands a",darwin nunez fights colombia fans uruguay families attacked brawl broke colombian uruguay supporters copa america semifinal darwin nunez jumping crowd alongside players attempt protect families two teams met place final north carolina early hours thursday morning us uk luis diazs side emerging victors ugly scenes transpired pitch dominates headlines brawl breaking stands,10,Nunez Preformance,2024-07,n
1/7/2024,,Trent's leadership & Virgil 'looked s**t' - 5 things from Klopp's press conference,"Jurgen Klopp was in good spirits as he reflected on a ?€?special?€? win away to Arsenal in the FA Cup, and he gave us some nuggets of gold afterwards!
Here are the five key points from the manager as he reflected on the victory?€?
Second half improvements
Liverpool looked markedly better after the interval, with Cody Gakpo and Harvey Elliott effectively switching positions as the side began to limit Arsenal?€?s threat.
?€?Everything was better in the second half,?€? admitted the boss when asked about what l",ThisIsAnfield,"Trent's leadership & Virgil 'looked s**t' - 5 things from Klopp's press conference Jurgen Klopp was in good spirits as he reflected on a ?€?special?€? win away to Arsenal in the FA Cup, and he gave us some nuggets of gold afterwards!
Here are the five key points from the manager as he reflected on the victory?€?
Second half improvements
Liverpool looked markedly better after the interval, with Cody Gakpo and Harvey Elliott effectively switching positions as the side began to limit Arsenal?€?s threat.
?€?Everything was better in the second half,?€? admitted the boss when asked about what l",trents leadership virgil looked st things klopps press conference jurgen klopp good spirits reflected special win away arsenal fa cup gave us nuggets gold afterwards five key points manager reflected victory second half improvements looked markedly better interval cody gakpo harvey elliott effectively switching positions side began limit arsenals threat everything better second half admitted boss asked l,7,Klopp Last Season,2024-01,n
6/4/2024,,Jurgen Klopp 'turned down a fortune' in show of class to former club Dortmund,"Jurgen Klopp was in the stands to support former club Dortmund in their Champions League final defeat to Real Madrid, turning down ?€?a fortune?€? to do so.
Klopp made his first appearance since departing Liverpool on Saturday as he attended the Champions League final at Wembley.
The former Reds manager was spotted in the stands and given a warm reception from Dortmund supporters, before joining a rendition of You?€?ll Never Walk Alone pre-match.
His presence was expected, but Klopp did receive other ",ThisIsAnfield,"Jurgen Klopp 'turned down a fortune' in show of class to former club Dortmund Jurgen Klopp was in the stands to support former club Dortmund in their Champions League final defeat to Real Madrid, turning down ?€?a fortune?€? to do so.
Klopp made his first appearance since departing Liverpool on Saturday as he attended the Champions League final at Wembley.
The former Reds manager was spotted in the stands and given a warm reception from Dortmund supporters, before joining a rendition of You?€?ll Never Walk Alone pre-match.
His presence was expected, but Klopp did receive other ",jurgen klopp turned fortune show class former club dortmund jurgen klopp stands support former club dortmund champions league final defeat real madrid turning fortune klopp made first appearance since departing saturday attended champions league final wembley former reds manager spotted stands given warm reception dortmund supporters joining rendition youll never walk alone prematch presence expected klopp receive,7,Klopp Last Season,2024-06,s
