Date,Time,Headline,Body Context
3/17/2025,19:53,'Not giving Liverpool the excuse of being tired',"Former Liverpool defender Stephen Warnock, speaking to BBC Radio 5 Live: ""Mo Salah was poor, he struggled in the game. He did not turn up at all today. ""Newcastle were brilliant and they smothered Liverpool, they made it difficult for them. Don't forget how many players Liverpool threw forward towards the end It looked in doubt towards the end, but they deserve this. ""Whether they were tired from the game against Paris St-Germain in the week - I'm not giving them that excuse, they don't deserve that excuse. You have to give all that credit toNewcastle, the way they set themselves up nullified Liverpool and they were outstanding."" ""Virgil Van Dijk stood at the Newcastle huddle at full-time. He went around and shook every player's hand. He respected what Newcastle have done today. Class. A sign of respect for Newcastle."" Former Liverpool defender Jamie Carragher, speaking on Sky Sports: ""Newcastle didn't just win today, they battered Liverpool. ""I find it difficult to be too critical, given what Liverpool look like they will go on to achieve. ""Newcastle are a great Premier League team and they have wiped the floor with them today. I'm gutted Liverpool didn't win today but if there is any team you would accept losing to, it's Newcastle."""
3/17/2025,18:31,Liverpool 1-2 Newcastle - send us your thoughts,Were you at the game or following from elsewhere? What went wrong for Liverpool? Tell us what made the difference for Newcastle Come back to this page on Monday to find a selection of your replies
3/17/2025,12:34,Sutton's predictions: Liverpool v Newcastle,"We all know how much it would mean for Newcastle to end their long wait for a major trophy, but they have not beaten Liverpool since December 2015, a run of 17 games. When you consider the Magpies are without Lewis Hall and Anthony Gordon - their entire first-choice on the left flank - I really don't see that run ending at Wembley. I am expecting Tino Livramento to replace Hall and try to stop Mohamed Salah. Livramento is mobile and quick, but I don't think he will keep Salah quiet all game. It won't be easy for Liverpool, though. They are without Trent Alexander-Arnold and, with Conor Bradley likely to be sidelined too, they will need to find someone to fill in at right-back. The midfield battle will be key, because Newcastle are very good in that area, especially now Joelinton is back alongside Bruno Guimaraes and Sandro Tonali, but it is one of Liverpool's strengths too. Arne Slot's biggest issue is how the Reds will react to the disappointment of going out of the Champions League against Paris St-Germain, but I don't see them having a hangover from that shootout defeat. My gut feeling is that we will see a few goals, and Liverpool will win in 90 minutes. Sutton's prediction: 3-2 Read the full predictions and have your say here"
3/17/2025,15:50,'Born ready' Quansah 'grateful' for Van Dijk help,"Liverpool defender Jarell Quansah has a tattoo on his arm which says 'Born ready' and he will need to be on Sunday if, as expected, he is called upon when the Reds playNewcastlein the Carabao Cup final at Wembley on Sunday. ""My tattoo is [something] my dad used to say when I was younger before every game,"" the 22-year-old explained. ""He used to say, 'Are you ready?', and I'd say, 'born ready'. So that's where that came from. Hopefully, I will be ready on Sunday."" Quansah is set to be used at right-back by Reds boss Arne Slot against the Magpies because of injuries to regulars Trent Alexander-Arnold and Conor Bradley, while Joe Gomez - the usual deputy in that position - is out with a hamstring issue. Liverpool will be aiming to win the EFL Cup for a second successive season, having beatenChelseain last year's final in which Quansah came on during extra-time. ""These sort of weeks, I think about myself when I was young and what I'd be thinking if I was in that position. I think just to enjoy myself and the occasion, it's going to be special,"" said the defender. Quansah will go into the final on the back of being called up to England manager Thomas Tuchel's first squad and is using the knowledge and experience of Liverpool captain and Netherlands centre-back Virgil van Dijk to help in his development. ""He's lived my career,"" said Quansah. ""He's been a young centre-half, made mistakes, and then reached the pinnacle, the very top of football, and been one of the best centre-halves that we've seen. ""He can resonate a lot with me and, anything he can do to help me, he's trying to do and I'm grateful for that. ""On a day-to-day basis, he is always talking to me. It's all valuable information that I take from him."" Slot took Quansah off at half-time when Liverpool won atIpswichin their opening game of the season and, while the young centre-back feels he has ""dealt with it pretty well"", he admits it is ""tough"" not playing as much as he would like this season. ""It's all about learning for me,"" added Quansah. ""There are going to be times when I play good and bad but, as long as I'm learning and becoming a better player, then in the future I know I'll be fine. ""It's just trying to keep perspective about what sort of stage of my career I'm in at the minute - trying to learn off the best and become consistent as a whole."""
3/17/2025,14:31,Liverpool v Newcastle: Who is the Carabao Cup final bigger for?,"With Liverpool and Newcastle United set to face off at Wembley for the first domestic silverware of season in the Carabao Cup final, we asked our fan contributors for each club to tell us their thoughts before the big showdown. Who is the final bigger for? What would winning this trophy mean? What gives hope for getting it over the line? This is what Reds fan Josh Sexton fromThe Anfield Wrap, externalhad to say... This video can not be played  And here is the view of Magpies fan Matty Renton fromThe Magpie Channel, external... This video can not be played "
3/17/2025,14:03,'Kelleher deserves to play' in final - Westerveld,"Former Liverpool goalkeeper Sander Westerveld hopes head coach Arne Slot plays Caoimhin Kelleher in goal for Sunday's Carabao Cup final despite opting for Alisson in the semi-final againstTottenham. Speaking to BBC Radio Merseyside, Westerveld said: ""I was surprised when Alisson played in the semi-finals because usually Kelleher plays all of these games, but I think it was to do with Alisson coming back [from injury] and getting him for the Champions League. ""Kelleher deserves to play the game as he has been so good for us, but I won't be surprised if he leaves at the end of the season because a goalkeeper wants to play. ""He has played so many games for Liverpool this season and he is so important for them. ""We really need a goalkeeper like him and he thoroughly deserves to play in the final so hopefully he can make a difference and win it for us as well."" Listen to the full interview on BBC Sounds"
3/17/2025,13:05,'No panic' - Van Dijk 'fully committed' to Reds despite contract stalemate,"Liverpool captain Virgil van Dijk says he is prepared to let his contract expire at the end of the season but urged for there to be no ""panic"" because he is ""fully committed"" to the Anfield club. ""I don't want to create any anxiety or anything like that. I just keep my head down and focus on hopefully winning the next 10 games,"" said the 33-year-old centre-back. ""Maybe I will run this fully down and then there is still no news - I don't know. ""It's not a one-two-three discussion and there we go. There are multiple factors. ""There is no need to panic, whatever may happen in the future. ""I am fully committed to Liverpool Football Club at the moment and there is no doubt about that. ""I am so proud to be the captain of this beautiful club that means so much to me."""
3/17/2025,19:32,Cup final just as 'special' for Liverpool as Newcastle - Slot,"Arne Slot had to jokingly remind those in attendance as his news conference on Friday that his team were playingNewcastle Unitedin the Carabao Cup final on Sunday. He had been asked about plenty of issues surrounding the Reds, from Virgil van Dijk's future, injury concerns, how his players were feeling after their Champions League exit and Jarell Quansah's England call-up, before getting on to the Magpies. And, while Newcastle have not won a major trophy in 56 years, Slot does not believe  the Wembley showpiece is a bigger game for them than a Liverpool side who won the competition last season. ""No, I don't go along with that,"" said Slot, who has plenty of incentive for victory as it would give him his first trophy in charge of the Anfield club. ""A final in this country is always special because of the fact that there are so many strong teams. ""If you reach a final, it is always a big moment for them - but also for us. It is special for them - but also for us."""
3/17/2025,19:01,'Surreal feeling' to be named in England squad - Quansah,"Liverpool centre-back Jarell Quansah says ""it is a surreal feeling"" to be named in Thomas Tuchel's first England squad. The 22-year-old is yet to make a senior international appearance, despite being included in Gareth Southgate's training squad before Euro 2024. Since then, he has made 21 appearances for Liverpool and has been impressive at the back when called upon by Arne Slot. ""I was in the last camp but it was to just step in, so this is the first one where I feel part of the squad,"" he told BBC Radio Merseyside. ""Football is about ups and downs and I wasn't picked for the Euros, so it was about bouncing back and being in a better position this season."" Listen to more on BBC Sounds"
3/17/2025,17:02,Should he stay or should he go?,"When Thomas Tuchel announcedhis inaugural England squadon Friday, Harvey Elliott could be forgiven for feeling a bit wistful. At the end of last season, the 21-year-old was on the fringe of Tuchel's predecessor Gareth Southgate's considerations for Euro 2024 - now, he is not even in the conversation. Yet to start in the Premier League under Arne Slot, Elliott has been reduced to cameo roles off the bench or appearances in cup competitions alongside the second-string players, albeit few would expect him to start the Carabao Cup final on Sunday. Elliott arrived at Anfield as a 17-year-old in July 2019 and has only had one loan spell away - a very successful campaign atBlackburn Roversin the Championship in 2020-21. With a solidified place in Liverpool's first XI looking further away than ever, what next for the talented midfielder? Not a Liverpool fan? Find and follow your team here Elliott has actually played more minutes in both the Champions League and the FA Cup this season, notably scoring the winneragainst Paris St-Germainat the Parc des Princes 10 days ago. That was off the bench but served notice of his enduring talent and eye for a goal. Last season, he supplied 11 assists, demonstrating the value of a regular run in the side. One assist this season therefore is a paltry return, even if there remains time to improve it. In terms of his England credentials, he ought to be well placed to step up to the senior side, boasting 20 appearances for the under-21s, including one as captain, and scoring eight goals. Of course, there is considerable competition in his position for England. Few in world football can compete with the likes of Jude Bellingham, Cole Palmer and Phil Foden - albeit the latter two are out of form right now. Foden actually makes for an interesting comparison too. Closely guarded byManchester Cityboss Pep Guardiola during his formative years, there were some who argued it would be better for him to leave in order to progress his career. Foden never listened, instead biding his time at the club he supports and ending up a fundamental part in bringing a shedload of trophies to Etihad Stadium. Elliott is older now than Foden was then, but he is a Liverpool fan and that may well mean he has a longer tail of patience when it comes to fully breaking through at his favourite team. Whether Slot is taking such a long view of the midfielder's future or fancies cashing in on his potential may be a key topic this summer."
3/17/2025,13:55,Is Liverpool the best place for Elliott to develop?,"What Harvey Elliott does next depends whether or not he feels like he is still developing well enough at Liverpool. He is good enough to be playing week in week out, but is he getting better if he goes to a different environment where the situation is not the same? At Liverpool he is behind some big players in terms of a starting berth, but he is also getting the opportunity to play and score in the biggest competitions and is surrounded by players who are trying to win huge trophies. As a player he can learn a lot from that mentality and that setup. Even if he is not playing every week, he has to be ready. I think the fact Arne Slot does still play him means he does trust him and if he will be manager for a long time then you would imagine someone like Elliott would be part of his plans for the long term. It can be hard, however, for a player to think of the long term if in the short term you are not getting as many minutes as you feel you could be getting. I stress ""could"" rather than ""should"", because deserving is very subjective. I would say as long as he feels he is developing as a player in ways other than just playing 90 minutes every week, then Liverpool is by far the best place for him to be because he has developed there and has played in some of the biggest games in club football. Elliott is 21, he is young enough to be able to go and find a future somewhere else, but in many years' time he can look back and be glad he stayed at the club he loves having won the trophies he has and can still win. Nedum Onuoha was speaking to BBC Sport's Nat Hayward"
3/17/2025,11:18,Slot hails Quansah's 'mentality' after England call-up,"This video can not be played Arne Slot on Jarell Quansah's England call up Arne Slot has praised Jarell Quansah's determination following the defender's England call-up by Thomas Tuchel on Friday. The 22-year-old was received some negative press after being replaced at half-time on the opening day of the season at Ipswich Town but has established himself as an important member of Slot's squad. He will likely start in the Carabao Cup final on Sunday, ""It says a lot about his mentality,"" said Slot. ""I think last season everybody saw what a talent he is. He showed in recent performances that he outgrew being a talent and that's what Tuchel saw by calling him up."" Slot also highlighted Quansah's versatility, saying the defender offers the team a different attacking dimension while playing as a right-back. ""In the last few times he had to play for us it was in a position he is not completely used to as right full-back,"" he said. ""But in my opinion, he has the quality to play in that position because he is strong, fast, very comfortable with the ball and it gives us an extra quality if we play him."""
3/17/2025,10:44,"Slot on Alexander-Arnold, recovering from PSG and Carabao Cup final","Arne Slot has been speaking to the media before Sunday's Carabao Cup final againstNewcastle(kick-off 16:30 GMT). Here are the key lines from his news conference: As anticipated, Trent Alexander-Arnold is unavailable but Slot expects the right-back to return before the end of the season. However, the Liverpool boss is hopeful Ibrahima Konate will train today and then a decision will be made ahead of Sunday. He said ""in this part of the season it is almost impossible to have all of your players fit"" so it is no surprise both Liverpool and Newcastle have key players sidelined for the final. More from Slot on the absentees: ""Both teams have two or three that can't play and that's almost a privilege as some teams have had more all season. It's the minimum you can expect after four months of non-stop football. It's a compliment to the medical staff of both clubs that it is not more."" On Virgil van Dijk's comments he still has 'no idea' whether he will be at the club next season: ""The only thing I know is that I want Virgil to be here next season and for no more talk about contracts."" After their exertions against Paris St-Germain on Tuesday, Slot said it is ""normal for players to be tired after extra time, especially after playing such an intense 90 minutes"" but said Liverpool will be ready to go again at Wembley. Reflecting on the Champions League defeat to Paris Saint-Germain: ""I liked the game because it was all about pure football. I have seen so many games recently where it is all about time delays and dives. This was two teams going all out in possession and attack. Pure football and it is a big compliment to PSG that they were able to beat such a strong Liverpool side."" In response to whether Darwin Nunez has needed his spirits lifting after missing his penalty: ""I assume Curtis [Jones] felt the same? It's the same for every player that takes a penalty and misses, but the all the others didn't feel great after as we lost and they all took responsibility because you can miss a chance like you miss a penalty. We were closer to winning the game in the 90 minutes and with penalties you need a little bit of luck. I don't want to make anything more of it."" On the opportunity presented by the final: ""We are really looking forward to it - you cannot take a final for granted in this country. Everyone wants to play a final. That is one of the reasons we get out of bed in the morning. Everyone wants to win trophies."" On suggestions it is a 'bigger game' for Newcastle given their 70-year wait for a major trophy, Slot said it is ""a big moment"" for both clubs to be in the final. Listen to live commentary of the Carabao Cup final between Liverpool and Newcastle from 16:30 GMT on BBC Radio 5 Live Follow all of Friday's Premier League news conferences and the rest of the day's football news"
3/17/2025,09:05,Quansah included in England squad,"Liverpool defender Jarell Quansah has been named in Thomas Tuchel's first England squad. The 22-year-old has not made an appearance for the national team, but was included in Gareth Southgate's training squad before the 2024 Uefa European Championships. Quansah has made 21 appearances for Liverpool this season, including 10 in the Premier League. He came on as a second-half substitute in Tuesday's Champions League defeat by PSG for the injured Trent Alexander-Arnold and seems set to deputise for the right-back in Sunday's Carabao Cup final againstNewcastle. Full squad here"
3/17/2025,08:33,Chance to make up for disappointment in Europe,"Since becoming Liverpool manager, Arne Slot has not had too much adversity to deal with but he had the disappointment of his side being knocked out of the Champions League on Tuesday. Since then, the Dutchman has had to pick himself and his players up for the Carabao Cup final on Sunday againstNewcastle United. The match will be Slot's first trip to Wembley and gives him and his team the chance to erase the hurt of the result against Paris St-Germain by lifting a first trophy of his tenure. Slot will be speak to the media at 10:00 GMT today so we will find out what sort of state the Reds are in mentally and physically. On the team news front, Liverpool right-back Trent Alexander-Arnold had to go off injured against PSG and is unlikely to be involved. And, with injured duo Conor Bradley and Joe Gomez not expected to be back, Jarell Quansah is expected to deputise. Centre-back Ibrahima Konate also went off late on against PSG and, while Slot has said he expects the France international to be available to face Newcastle, we will get an update on him as well."
3/17/2025,07:48,Gossip: Liverpool interested in Premier League stars,"Liverpool,ArsenalandManchester Unitedare among the clubs showing an interest inNottingham Forestand England midfielder Morgan Gibbs-White, 25.(Caughtoffside), external Liverpool have also joined Arsenal on the trail of 17-year-old French midfielder Ayyoub Bouaddi after his impressive displays for Lille this season.(TBR Football), external The Reds have been scouring the market for a left-back to replace 31-year-old Scot Andy Robertson withBournemouth'sHungary defender Milos Kerkez, 21, one of their main targets.(Mail - subscription required), external Finally, Liverpool have also been linked with a summer move for Bayern Munich's ex-Manchester Cityforward Leroy Sane. The 29-year-old is out of contract in the summer.(Bild), external Want more transfer stories? Read Friday's full gossip column Follow the gossip column on BBC Sport"
3/17/2025,09:23,Liverpool 'won't take anything for granted',"In reality, every player is different but most of the players in the build-up to the Carabao Cup final will want to stick to their normal routines. But it is a very hard thing to do when you know the scale of the game ahead. Getting a chance to play at Wembley is always a huge privilege and one that players do not ever take for granted. Interestingly for these teams, Liverpool have won there in recent years butNewcastlelost two years ago. Liverpool are trying to retain their trophy from last season, knowing that they are also in a great position in the league, even if they are now out of the Champions League. What is the energy like? Have they recovered and understand this is part of the process? Looking historically, it suggests that they can, but they know they will be arriving as favourites. Newcastle caused Liverpool problems this season in the game at St James' Park so they will not take anything for granted. The game feels bigger for Newcastle because their history is not littered with trophies or Wembley appearances and the Reds have has significant success in terms of major trophies in the past 10 years - but it is huge for both teams. The chance to win any trophy in any season is a privilege and to walk up those steps and lift it in front of all your supporters who have come down for this one-off day is amazing. You can never take that for granted. It is a case of being prepared, being ready for the moment and understanding the lights will shine down on you for that game. It is a case of making sure they are not too bright for you given the occasion. Nedum Onuoha was speaking to BBC Sport's Nat Hayward"
3/17/2025,08:15,'Best game of football' - Slot,"Liverpool's Champions League journey might be over for this season, but the second leg of their last 16 tie against Paris St-Germain will still go down as ""the best game of football I've been involved in"" for manager Arne Slot. After winning in Paris, the Reds went into the second leg at Anfield full of confidence but the match was ultimately decided by PSG goalkeeper Gianluigi Donnarumma's heroics in the penalty shootout. This video can not be played "
3/17/2025,07:15,Gossip: Liverpool scout Ajax youngster Hato,"Liverpool have sent scouts to watch 19-year-old versatile left-sided defender Jorrel Hato from Ajax, who has been capped five times by the Netherlands.(Mail - subscription required), external Want more transfer news? Read Thursday's full gossip column Follow the gossip column on BBC Sport"
3/17/2025,15:31,'I still have no idea' - Van Dijk on contract,"Liverpool captain Virgil van Dijk says he has ""no idea"" whether he will stay at the club beyond this season. The 33-year-old is out of contract this summer, alongside Mohamed Salah and Trent Alexander-Arnold. ""I still have no idea at the moment, genuinely. At the moment I don't even know what will happen next year. If anyone says they do know, they are lying to your face,"" he said. ""Everyone knows there are some conversations behind the scenes but that is about it."" ""It is not on hold, nothing [is] on hold. Listen, there are 10 games to go and that is my full focus. If there is news, you guys will know it. ""I don't even know myself."""
3/17/2025,09:25,Fan views on Champions League exit,"This video can not be played I hope fans didn't want 'incredible' game to stop- Slot We asked for your views after Liverpool were eliminated from the Champions League by Paris St-Germain. Here are some of your comments: Roger:Bottom line is that Liverpool lost to a better team and sometimes you have to accept that, rather than search for shortcomings in your own performance. Nobody would dispute PSG should have won the first leg, and they always looked dangerous in the second leg. I really hope they win the trophy. Good that Liverpool have no league games until April now, but the Carabao final has suddenly become a bigger challenge. Tim:Over the two legs the better side went through...just. They had more of a threat up front. I don't understand why footballers can't use their weaker leg to clear a ball like Konate didn't. I think there might be some changes for Sunday after that. Great game for the neutral. It could have been the final, it was so open. M:Generally a great performance. Robertson, Mac Allister, Szobo all top. Quansah came on with confidence. Pens were poor, which was a real shame. Overall PSG probably edged it over two legs. Still a league and cup to go. Karen:Well it had to happen. It's been a very busy campaign for Liverpool this season. I feel it is beginning to take its toll on the players now. I hope we have better fortune on Sunday. Vardon:Facing facts is always difficult after such a deflating loss. We have a missing link in central midfield, and that's a priority in the summer. If we lose all three players out of contract it's a major rebuilding of the squad as well. At this point it almost feels as if winning the Premier League is a consolation. Down, but not out in terms of the season as a whole. Darwin, it's a long goodbye after tonight, I'm afraid. Ken:Fine margins but PSG were better across the two legs. They have got their recruitment spot on eventually with dynamic and energetic players all across the park with dollops of bravery in their work in and out of possession. Slot and the players have done remarkably well to date and this is where FSG's failure to strengthen the squad in defence and midfield hurt us. Hopefully, they can recover well and bounce back in the next game to ensure the run-in is still a glorious climax."
3/17/2025,08:19,Alexander-Arnold set to miss final,"Trent Alexander-Arnold is expected to miss Sunday's Carabao Cup final against Newcastle after limping off in the Reds' Champions League defeat against Paris St-Germain. The full-back twisted awkwardly in the second half of Tuesday's shootout defeat. In more positive news, Ibrahima Konate's withdrawal during the PSG loss could be down to fatigue rather than injury. Manager Arne Slot told his post-match press conference: ""I have to ask but for me Ibou was more that he was tired than it was an injury. With Trent, he had to come off. That's never a good sign. ""And from what I heard from people that saw the images or how he got injured, that didn't look very good. So I would be surprised if he is available for Sunday."""
3/17/2025,08:02,'Nunez was probably not the right option',"Former Liverpool defender Stephen Warnock believes that the pressure of taking a Champions League penalty got to striker Darwin Nunez, as the Uruguayan missed his spot-kick in Tuesday's shootout defeat to Paris St-Germain. Liverpool wereeliminated from the competition, with Nunez and Curtis Jones both being denied by Gianluigi Donnarumma, and Warnock says you could tell there was nervousness around Nunez's effort in particular. ""You could feel it as soon as he was walking forward,"" he said on theFootball Daily podcast. ""There was a sense of 'oh no,' and he was probably not the right option. ""To be honest, I am not going to say anything about anyone who takes a penalty, all credit to them, but I get what you mean. It's that confidence when you are stepping up. It is just one of those situations. ""I am sat here thinking, wow, look at the size of Donnarumma. If he dives the right way, he has a great chance of saving it."""
